title,price,provence,year,fuel,kilometers,change,power
Suzuki SX4 1.9 DDiS GLX,7.990 €,"Utebo (Zaragoza)
Hace 5 horas",2010,Diesel,122.000 Km,,120 CV
Mercedes Clase C 220 d,28.900 €,"Utebo (Zaragoza)
Hace 5 horas",2018,Diesel,22.000 Km,,194 CV
Audi A3 Sportback 1.9 TDI DPF Attraction,8.990 €,"Utebo (Zaragoza)
Hace 5 horas",2009,Diesel,190.000 Km,,105 CV
BMW Serie 3 320D,2.990 €,"Utebo (Zaragoza)
Hace 5 horas",1998,Diesel,335.000 Km,,136 CV
BMW X6 xDrive30d,25.490 €,"Utebo (Zaragoza)
Hace 5 horas",2013,Diesel,222.000 Km,,245 CV
Opel Omega ELEGANCE 2.5 V6,2.490 €,"Utebo (Zaragoza)
Hace 5 horas",2000,Gasolina,173.000 Km,,170 CV
Mini Cooper Cooper,6.990 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Gasolina,138.000 Km,,120 CV
Audi A4 1.8 T,2.990 €,"Utebo (Zaragoza)
Hace 5 horas",2001,Gasolina,200.000 Km,,150 CV
Volkswagen Golf 1.9 TDI 105cv Highline,6.490 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Diesel,172.000 Km,,105 CV
Mercedes Vito 114 CDI Tourer Pro Compacta,25.990 €,"Utebo (Zaragoza)
Hace 5 horas",2016,Diesel,32.000 Km,,136 CV
Renault Megane CONFORT DYNAMIQUE 1.5DCI80,2.990 €,"Utebo (Zaragoza)
Hace 5 horas",2005,Diesel,237.000 Km,,80 CV
Renault Grand Scenic CONFORT DYNAMIQUE 1.5DCI105,3.990 €,"Utebo (Zaragoza)
Hace 5 horas",2005,Diesel,220.000 Km,,105 CV
Seat Toledo 2.0 TDI 140cv Sport Up,4.490 €,"Utebo (Zaragoza)
Hace 5 horas",2007,Diesel,145.000 Km,,140 CV
Renault Laguna G.Tour Limited 2.0 Energy dCi 130 eco2,8.990 €,"Utebo (Zaragoza)
Hace 5 horas",2015,Diesel,145.000 Km,,130 CV
Jeep Commander 3.0 V6 CRD Limited,8.990 €,"Utebo (Zaragoza)
Hace 5 horas",2006,Diesel,365.000 Km,,218 CV
