  MERCEDES-BENZ Clase B 180  ,20.900 € ,Valencia,2017, Gasolina,18.000 km,Manual,122 cv
  MERCEDES-BENZ Clase R 280CDI 4M Aut.  ,12.900 € ,Valencia,2006, Diesel,149.000 km,Automático,190 cv
  RENAULT Scénic 1.5dCi Zen Collection 81kW  ,21.500 € ,Barcelona,2018, Diesel,11.637 km,Manual,110 cv
  VOLKSWAGEN Tiguan 2.0TDI Country  ,10.490 € ,Barcelona,2008, Diesel,115.000 km,Manual,140 cv
  TOYOTA Auris 130 Active  ,9.900 € ,Valencia,2013, Gasolina,52.770 km,Manual,132 cv
  TOYOTA Yaris 1.0 City  ,9.200 € ,Barcelona,2017, Gasolina,7.000 km,Manual,69 cv
  PEUGEOT 308 1.6 BlueHDi Allure 120  ,17.200 € ,Málaga,2016, Diesel,9.734 km,Manual,120 cv
  RENAULT Scénic INTENS ENERGY 1.5DCI 110CV 5P 7PLAZAS  ,18.990 € ,Valencia,2017, Diesel,21.418 km,Manual,110 cv
  BMW Serie 4 420d Gran Coupé  ,26.999 € ,Salamanca,2015, Diesel,59.000 km,Manual,190 cv
  BMW Serie 5 M5  ,15.000 € ,Barcelona,1999, Gasolina,140.000 km,Manual,400 cv
  PEUGEOT 3008 Diesel de 5 Puertas  ,13.750 € ,Murcia,2016, Diesel,106.507 km,Automático,120 cv
  PEUGEOT 308 SW 1.6HDI FAP Premium 112  ,7.900 € ,Málaga,2010, Diesel,100.000 km,Manual,112 cv
  HYUNDAI i20 1.2 BD Klass  ,8.990 € ,Valencia,2017, Gasolina,20.385 km,Manual,85 cv
  BMW Serie 3 Gasolina de 2 Puertas  ,24.990 € ,Madrid,2009, Gasolina,73.000 km,Manual,306 cv
  INFINITI Q70 2.2d GT Sport Tech Aut.  ,27.630 € ,Madrid,2017, Diesel,25.307 km,Automático,170 cv
  LAND-ROVER Discovery Sport 2.0TD4 SE 4x4 150  ,22.890 € ,Madrid,2016, Diesel,84.726 km,Manual,150 cv
  LEXUS GS 300h Executive  ,21.590 € ,Madrid,2015, Híbrido,127.283 km,Automático,223 cv
  LEXUS NX 300h F Luxury 4WD  ,29.360 € ,Madrid,2015, Híbrido,97.820 km,Automático,197 cv
  HYUNDAI i20 5P TGDI 1.0 ESSENCE LE  ,10.890 € ,Madrid,2018, Gasolina,0 km,Manual,100 cv
  MERCEDES-BENZ Clase CLA Shooting Brake 200d Urban  ,24.450 € ,Madrid,2016, Diesel,20.002 km,Manual,136 cv
  BMW Serie 3 Gasolina de 2 Puertas  ,24.990 € ,Madrid,2009, Gasolina,73.000 km,Manual,306 cv
  MINI Countryman Cooper Aut.  ,22.020 € ,Madrid,2018, Gasolina,18.710 km,Automático,136 cv
  TOYOTA RAV-4 120D Advance AWD  ,14.680 € ,Madrid,2015, Diesel,86.861 km,Manual,124 cv
  SEAT Ibiza 1.2 TSI S&S FR  ,9.510 € ,Madrid,2017, Gasolina,79.067 km,Manual,90 cv
  HYUNDAI i10 1.0 Tecno  ,6.590 € ,Madrid,2017, Gasolina,44.379 km,Manual,66 cv
